IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
168.138.161.0,4,2,0.50,58.14,0.20
168.138.184.64,4,4,0.00,160.51,0.18
168.138.185.28,4,4,0.00,125.80,0.18
168.138.198.202,4,3,0.25,97.13,0.17
168.138.215.188,4,4,0.00,97.71,0.15
168.138.203.39,4,4,0.00,102.31,0.13
168.138.212.74,4,3,0.25,95.30,0.13
168.138.197.222,4,2,0.50,203.70,0.12
168.138.192.185,4,2,0.50,212.62,0.10
168.138.212.175,4,4,0.00,206.49,0.10
168.138.195.31,4,4,0.00,204.66,0.10
168.138.213.210,4,4,0.00,205.01,0.09
168.138.185.253,4,4,0.00,168.61,0.09
168.138.209.244,4,2,0.50,102.98,0.04
168.138.196.237,4,4,0.00,205.58,0.04
168.138.208.242,4,3,0.25,94.10,0.00
168.138.168.78,4,3,0.25,117.02,0.00
168.138.169.154,4,4,0.00,133.88,0.00
168.138.175.104,4,4,0.00,134.68,0.00
168.138.191.208,4,4,0.00,134.83,0.00
168.138.179.204,4,4,0.00,144.46,0.00
168.138.167.27,4,4,0.00,158.65,0.00
168.138.187.19,4,4,0.00,123.93,0.00
168.138.160.242,4,4,0.00,103.32,0.00
168.138.191.143,4,4,0.00,169.75,0.00
168.138.160.78,4,4,0.00,175.35,0.00
168.138.171.179,4,4,0.00,175.95,0.00
168.138.176.61,4,4,0.00,176.59,0.00
168.138.166.164,4,4,0.00,193.15,0.00
168.138.186.121,4,4,0.00,193.48,0.00
168.138.193.123,4,4,0.00,102.07,0.00
168.138.187.232,4,4,0.00,101.53,0.00
168.138.217.122,4,4,0.00,101.11,0.00
168.138.207.57,4,4,0.00,98.17,0.00
168.138.191.54,4,3,0.25,59.89,0.00
168.138.160.75,4,3,0.25,61.35,0.00
168.138.208.172,4,3,0.25,93.80,0.00
168.138.161.125,4,4,0.00,60.01,0.00
168.138.196.171,4,4,0.00,96.68,0.00
168.138.222.2,4,3,0.25,96.03,0.00
168.138.205.159,4,3,0.25,96.82,0.00
168.138.210.222,4,4,0.00,95.95,0.00
168.138.215.0,4,3,0.25,99.05,0.00
168.138.183.153,4,3,0.25,103.71,0.00
168.138.160.138,4,3,0.25,108.55,0.00
168.138.171.60,4,3,0.25,114.10,0.00
168.138.163.173,4,4,0.00,123.98,0.00
168.138.165.90,4,3,0.25,117.95,0.00
168.138.176.252,4,3,0.25,145.73,0.00
168.138.185.201,4,3,0.25,159.82,0.00
168.138.179.63,4,3,0.25,170.43,0.00
168.138.166.1,4,3,0.25,193.00,0.00
168.138.161.181,4,3,0.25,203.59,0.00
168.138.187.159,4,3,0.25,204.73,0.00
168.138.167.157,4,3,0.25,216.29,0.00
168.138.168.57,4,3,0.25,230.22,0.00
168.138.200.2,4,4,0.00,95.04,0.00
168.138.201.252,4,2,0.50,95.03,0.00
168.138.203.158,4,2,0.50,96.16,0.00
168.138.197.87,4,2,0.50,96.50,0.00
168.138.200.232,4,2,0.50,99.50,0.00
168.138.206.109,4,2,0.50,101.84,0.00
168.138.213.43,4,4,0.00,94.71,0.00
168.138.189.234,4,2,0.50,124.28,0.00
168.138.170.25,4,2,0.50,141.99,0.00
168.138.166.248,4,2,0.50,144.05,0.00
168.138.171.228,4,2,0.50,183.24,0.00
168.138.187.57,4,2,0.50,193.27,0.00
168.138.190.236,4,4,0.00,90.55,0.00
168.138.185.213,4,2,0.50,210.32,0.00
168.138.202.238,4,2,0.50,211.79,0.00
168.138.180.102,4,4,0.00,89.96,0.00
168.138.181.166,4,2,0.50,229.03,0.00
168.138.213.204,4,1,0.75,96.34,0.00
168.138.209.112,4,1,0.75,96.45,0.00
168.138.200.227,4,1,0.75,98.61,0.00
168.138.210.229,4,1,0.75,100.11,0.00
